,Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,Residential_Status,Annual_Income,Credit_Score,Loan_Purpose,Bank_Account_History,Transaction_Frequency,Loan_Approval_Status
0,151344,Male,35,Single,3,Graduate,Self-Employed,Business,Rent,21992.026789748612,809,Education,9,25,1
0,151665,Male,44,Single,3,Graduate,Employed,Business,Rent,21875.56932644998,396,Personal,8,7,0
0,151741,Male,39,Married,1,Graduate,Self-Employed,Business,Own,21040.437631695266,335,Education,3,12,1
0,151840,Male,44,Married,3,High School,Employed,Salaried,Rent,21960.448821067097,313,Home,8,22,0
0,151901,Male,54,Married,2,Graduate,Employed,Salaried,Own,21460.67804753911,301,Vehicle,8,22,1
0,151965,Female,49,Single,2,Postgraduate,Unemployed,Freelancer,Rent,20955.0481253652,479,Personal,2,21,1
0,151972,Male,44,Single,2,High School,Self-Employed,Freelancer,Rent,21040.437631695266,314,Personal,2,16,0
0,151978,Male,47,Married,0,High School,Unemployed,Salaried,Own,21207.37667689091,791,Education,6,22,0
0,151992,Male,37,Single,3,Graduate,Self-Employed,Professional,Rent,21040.437631695266,399,Education,0,28,1
0,152010,Male,30,Married,0,Graduate,Self-Employed,Business,Own,20865.73040004688,609,Vehicle,6,23,1
0,152017,Female,41,Single,1,Graduate,Self-Employed,Professional,Own,21810.692826433613,830,Home,5,11,1
0,152020,Male,47,Married,2,Graduate,Self-Employed,Salaried,Own,22147.741814597557,676,Home,0,19,1
0,152171,Male,44,Married,2,Postgraduate,Employed,Salaried,Own,21634.389199973473,834,Education,3,9,1
0,152181,Male,35,Single,2,Graduate,Self-Employed,Salaried,Own,21099.95302267272,844,Vehicle,9,12,1
0,152192,Male,33,Single,2,High School,Self-Employed,Freelancer,Rent,21040.437631695266,306,Vehicle,0,18,0
0,152301,Male,19,Single,0,Graduate,Self-Employed,Freelancer,Rent,23008.50031520223,335,Home,6,9,0
0,152304,Male,46,Married,2,Graduate,Employed,Professional,Own,21378.635599969064,772,Education,0,18,1
0,152309,Male,25,Married,1,Graduate,Employed,Salaried,Rent,20518.07481014245,804,Vehicle,3,7,1
0,152328,Male,49,Married,2,Postgraduate,Self-Employed,Freelancer,Own,21040.437631695266,352,Personal,8,9,0
0,152383,Male,50,Married,3,Graduate,Employed,Professional,Rent,22323.11503739625,716,Home,4,27,1
0,152405,Male,43,Married,3,Postgraduate,Employed,Freelancer,Own,21137.441791085774,647,Home,1,25,1
0,152420,Male,38,Divorced,2,Postgraduate,Employed,Business,Own,20567.90647771713,346,Education,3,17,1
0,152431,Male,35,Single,3,High School,Unemployed,Salaried,Own,24905.22361384747,594,Home,5,6,1
0,152445,Male,25,Married,1,Graduate,Unemployed,Salaried,Own,21121.004431693444,849,Personal,5,13,1
0,152454,Male,39,Single,2,Graduate,Employed,Professional,Own,20734.75692932884,374,Home,3,14,0
0,152513,Male,46,Married,3,Postgraduate,Self-Employed,Salaried,Own,63987.0360172341,759,Home,4,21,1
0,152523,Male,34,Divorced,2,Graduate,Self-Employed,Freelancer,Other,21323.604617815712,848,Education,7,8,1
0,152583,Male,48,Single,2,Graduate,Employed,Professional,Other,20406.611767380866,758,Home,5,20,1
0,152601,Female,30,Married,2,High School,Self-Employed,Professional,Own,21209.782044003885,318,Personal,2,8,0
0,152619,Female,47,Divorced,2,High School,Employed,Freelancer,Rent,20989.56644326502,369,Personal,6,24,0
0,152640,Male,45,Single,2,High School,Self-Employed,Business,Rent,28092.15340458785,424,Education,5,21,0
0,152676,Male,45,Married,2,Graduate,Self-Employed,Freelancer,Other,21503.93326629211,714,Vehicle,5,22,0
0,152692,Female,57,Single,2,High School,Self-Employed,Freelancer,Own,21195.32487093366,433,Education,3,23,0
0,152890,Male,39,Single,3,High School,Employed,Salaried,Own,20430.283357301105,802,Personal,9,16,0
0,152966,Male,65,Single,0,High School,Unemployed,Business,Rent,20611.9374889349,712,Education,5,14,1
0,152972,Male,45,Married,3,High School,Employed,Salaried,Other,21040.437631695266,844,Home,8,16,0
0,152977,Male,36,Single,2,High School,Employed,Freelancer,Own,21840.08332033022,629,Vehicle,7,15,1
0,153101,Male,39,Married,3,High School,Self-Employed,Freelancer,Rent,21101.005541814728,691,Home,2,28,1
0,153163,Male,29,Single,1,Graduate,Employed,Salaried,Own,22202.075336064994,834,Home,5,7,1
0,153174,Male,45,Single,1,High School,Employed,Salaried,Rent,20894.110448202344,849,Vehicle,7,6,1
0,153181,Female,41,Single,1,Postgraduate,Employed,Professional,Own,21801.980211852475,739,Home,7,18,1
0,153193,Male,38,Single,0,Graduate,Employed,Freelancer,Rent,23191.406387056937,583,Home,6,18,0
0,153198,Female,34,Married,0,Graduate,Unemployed,Salaried,Own,21978.240738731234,849,Personal,2,9,1
0,153239,Female,22,Married,2,Graduate,Employed,Professional,Other,21099.838432515884,843,Home,1,9,1
0,153327,Female,36,Married,1,Graduate,Employed,Professional,Rent,21033.16543248852,581,Personal,1,7,1
0,153338,Male,59,Single,2,Postgraduate,Employed,Professional,Own,20987.08616497489,535,Home,1,19,0
0,153351,Male,39,Single,2,High School,Employed,Business,Rent,21446.935780223448,849,Personal,0,29,1
0,153465,Male,55,Married,1,Graduate,Unemployed,Business,Other,21283.692695160862,714,Home,0,18,1
0,153499,Male,33,Married,2,Graduate,Self-Employed,Business,Own,20586.841560468238,775,Home,4,18,0
0,153542,Male,22,Married,3,High School,Employed,Salaried,Own,22148.634933700512,424,Home,9,17,1
0,153550,Male,38,Single,2,Postgraduate,Employed,Salaried,Rent,21040.437631695266,742,Home,0,21,0
0,153601,Female,39,Married,3,Graduate,Unemployed,Business,Own,21284.70827180455,833,Home,2,15,1
0,153602,Male,43,Married,2,Graduate,Employed,Freelancer,Own,22920.777616454983,444,Home,5,23,0
0,153612,Male,37,Single,1,High School,Self-Employed,Freelancer,Own,22217.24467840843,848,Education,8,6,1
0,153664,Male,43,Single,1,Postgraduate,Employed,Professional,Rent,21040.437631695266,522,Vehicle,5,15,0
0,153787,Male,32,Married,0,Postgraduate,Self-Employed,Salaried,Other,21040.437631695266,845,Home,0,19,1
0,153865,Female,48,Married,3,High School,Employed,Freelancer,Own,21472.753455648068,770,Home,4,11,1
0,153985,Male,29,Married,1,High School,Employed,Freelancer,Own,25231.79222047353,826,Vehicle,4,12,1
0,153988,Male,25,Single,3,Postgraduate,Employed,Freelancer,Own,23416.99062215845,737,Vehicle,8,9,1
0,154044,Male,30,Married,1,High School,Employed,Salaried,Rent,21051.059284083214,808,Home,9,16,0
0,154092,Male,24,Married,0,High School,Unemployed,Professional,Own,22449.497034457087,817,Home,2,7,1
0,154132,Male,28,Married,1,Postgraduate,Unemployed,Professional,Own,22146.606858954663,844,Education,3,11,0
0,154149,Male,54,Single,3,Postgraduate,Self-Employed,Professional,Rent,20742.270280955185,529,Home,7,9,1
0,154232,Male,44,Single,3,High School,Unemployed,Salaried,Own,21287.711218033903,838,Home,7,17,1
0,154282,Female,30,Married,2,Graduate,Employed,Freelancer,Own,22250.32223887369,496,Education,1,8,0
0,154295,Male,37,Married,1,Postgraduate,Unemployed,Professional,Own,21883.101491385656,795,Education,8,21,0
0,154303,Male,49,Married,0,Graduate,Employed,Freelancer,Own,20767.846803960205,813,Home,5,21,1
0,154344,Male,39,Single,0,High School,Employed,Professional,Rent,20764.167604775455,837,Home,9,17,0
0,154370,Male,36,Single,3,Graduate,Employed,Professional,Rent,24089.693677114512,848,Home,4,8,1
0,154390,Male,41,Single,0,High School,Employed,Freelancer,Rent,21499.247041967916,791,Vehicle,6,14,0
0,154394,Male,37,Single,3,High School,Employed,Business,Own,20612.425950857156,847,Education,9,28,1
0,154415,Male,25,Single,2,Postgraduate,Employed,Professional,Own,22911.713706079616,843,Education,3,11,1
0,154445,Male,49,Married,1,High School,Unemployed,Freelancer,Own,20423.464045758978,772,Vehicle,6,19,1
0,154460,Female,42,Married,2,Postgraduate,Employed,Professional,Own,20909.197696105068,795,Home,1,23,1
0,154463,Male,54,Married,3,Graduate,Employed,Business,Own,20909.197696105068,311,Education,4,26,1
0,154465,Female,60,Single,3,Graduate,Unemployed,Freelancer,Rent,21032.61061089335,578,Personal,7,12,1
0,154491,Female,48,Married,2,Postgraduate,Employed,Salaried,Own,20941.77311224128,633,Home,1,19,1
0,154519,Female,58,Married,1,Postgraduate,Self-Employed,Salaried,Own,21953.265557504463,347,Personal,6,19,1
0,154543,Female,31,Divorced,3,Graduate,Self-Employed,Salaried,Rent,21415.736472149736,843,Home,6,10,1
0,154573,Male,27,Single,1,High School,Unemployed,Freelancer,Own,21816.659039912636,824,Home,1,18,1
0,154629,Female,25,Married,0,High School,Self-Employed,Professional,Rent,22877.968786223373,849,Personal,0,28,1
0,154656,Male,33,Single,0,High School,Unemployed,Freelancer,Own,21293.71984697396,301,Vehicle,4,10,0
0,154702,Male,39,Married,3,Postgraduate,Employed,Salaried,Rent,22264.899475063463,847,Home,2,7,1
0,154718,Female,24,Divorced,1,Graduate,Employed,Freelancer,Rent,21040.437631695266,847,Home,3,27,1
0,154752,Male,42,Married,3,Graduate,Employed,Salaried,Rent,21734.318657934822,831,Vehicle,1,15,1
0,154757,Female,47,Single,3,Graduate,Unemployed,Salaried,Rent,22403.103071587382,834,Home,3,20,1
0,154780,Male,40,Single,0,High School,Employed,Freelancer,Own,20499.285102963444,606,Home,7,12,1
0,154813,Female,49,Married,2,High School,Self-Employed,Freelancer,Own,20786.42101323233,435,Vehicle,7,19,0
0,154855,Female,29,Married,3,Graduate,Employed,Professional,Rent,21427.731838178996,402,Home,5,21,1
0,154857,Female,35,Single,3,High School,Employed,Business,Own,20914.808851127993,848,Education,3,14,1
0,154899,Male,40,Single,1,Graduate,Employed,Professional,Rent,21363.916066748712,468,Home,9,23,1
0,155018,Female,47,Single,1,Graduate,Employed,Freelancer,Rent,20508.089731730215,795,Home,9,21,0
0,155039,Male,43,Single,1,High School,Employed,Professional,Own,25036.737881693727,839,Education,7,17,1
0,155167,Male,35,Single,2,High School,Employed,Salaried,Own,21529.045955707086,849,Home,2,19,1
0,155175,Male,36,Married,0,High School,Self-Employed,Salaried,Rent,20381.912628710998,847,Personal,3,6,0
0,155310,Male,49,Married,0,Graduate,Employed,Professional,Other,22847.001052884512,341,Home,8,17,0
0,155339,Female,30,Divorced,0,Graduate,Self-Employed,Salaried,Rent,21931.482823841023,831,Personal,1,28,0
0,155343,Female,35,Married,1,High School,Employed,Salaried,Own,21603.832622958533,348,Education,7,16,1
0,155394,Male,38,Single,1,Graduate,Employed,Salaried,Own,21472.595423849692,300,Home,1,26,0
0,155464,Female,41,Married,0,Graduate,Unemployed,Salaried,Own,20921.30867847167,361,Home,8,27,1
0,155518,Male,50,Single,2,High School,Employed,Salaried,Own,21854.309260725764,304,Home,2,12,1
0,155538,Male,53,Married,1,High School,Employed,Salaried,Own,21227.039321622866,434,Home,2,25,0
0,155552,Female,41,Single,2,Graduate,Self-Employed,Salaried,Rent,22182.515309383936,849,Home,2,16,1
0,155615,Male,58,Single,2,Postgraduate,Employed,Business,Own,21829.215726680293,841,Education,3,18,1
0,155643,Male,50,Divorced,2,Graduate,Employed,Business,Rent,21004.94649467296,560,Personal,8,24,1
0,155705,Female,48,Married,0,Postgraduate,Employed,Salaried,Own,20587.115892724298,795,Home,9,13,1
0,155711,Male,43,Single,1,High School,Self-Employed,Professional,Own,21322.266136371873,536,Personal,0,22,1
0,155712,Male,39,Married,1,Graduate,Employed,Business,Rent,24617.150800773914,406,Personal,4,20,0
0,155750,Female,38,Married,0,High School,Self-Employed,Freelancer,Own,21952.99430378993,813,Home,5,21,1
0,155984,Male,35,Married,2,High School,Employed,Salaried,Other,22465.918317021442,322,Home,3,10,1
0,156011,Female,32,Married,1,Graduate,Employed,Professional,Own,21001.288503218733,610,Vehicle,0,10,1
0,156042,Male,43,Divorced,3,Graduate,Employed,Freelancer,Own,20793.866636945088,349,Vehicle,4,12,0
0,156046,Female,32,Single,3,Postgraduate,Employed,Salaried,Own,20489.226139554565,842,Vehicle,6,18,1
0,156050,Male,26,Married,0,High School,Employed,Professional,Other,21361.33351246786,725,Home,5,27,1
0,156174,Male,55,Single,0,High School,Employed,Salaried,Own,21040.437631695266,675,Personal,8,17,0
0,156178,Male,28,Married,0,Graduate,Self-Employed,Professional,Own,24513.844524817785,717,Education,0,29,0
0,156337,Male,40,Married,1,High School,Employed,Salaried,Own,22017.77092223676,740,Education,7,9,0
0,156346,Male,32,Divorced,2,Graduate,Employed,Freelancer,Rent,22216.272201346117,307,Home,2,11,0
0,156477,Male,46,Married,1,Postgraduate,Employed,Salaried,Other,21821.409571548724,430,Personal,5,23,0
0,156513,Male,31,Married,2,Graduate,Employed,Business,Other,21710.282773933905,647,Home,2,9,1
0,156571,Male,35,Single,2,High School,Employed,Business,Own,21040.437631695266,817,Home,8,27,1
0,156675,Male,45,Married,1,Postgraduate,Self-Employed,Business,Own,20517.960904105956,419,Vehicle,4,11,1
0,156704,Male,31,Married,0,High School,Self-Employed,Professional,Rent,21040.437631695266,703,Personal,2,8,0
0,156747,Male,54,Married,0,High School,Unemployed,Professional,Own,20966.542031185756,726,Home,6,20,1
0,156787,Male,37,Married,0,High School,Employed,Salaried,Own,21368.456915500807,395,Home,5,9,0
0,156807,Male,32,Married,1,High School,Unemployed,Business,Own,23138.680890447024,492,Vehicle,1,17,0
0,156811,Male,42,Married,3,High School,Self-Employed,Business,Own,21040.437631695266,300,Personal,6,27,0
0,156818,Female,43,Married,3,High School,Employed,Freelancer,Own,21040.437631695266,452,Home,5,10,1
0,156825,Male,28,Single,3,Graduate,Unemployed,Professional,Other,24607.948698090007,360,Education,6,23,1
0,156875,Male,18,Divorced,2,High School,Self-Employed,Professional,Own,22109.003500384773,492,Education,8,8,1
0,156886,Male,52,Married,0,High School,Self-Employed,Professional,Own,23580.353770340582,308,Education,2,7,0
0,156906,Male,52,Married,2,Graduate,Employed,Professional,Own,20905.572200366954,781,Home,9,21,1
0,157059,Female,48,Married,0,Graduate,Self-Employed,Freelancer,Own,21262.75108745459,839,Home,4,23,1
0,157060,Female,25,Married,3,Graduate,Unemployed,Professional,Other,21262.75108745459,849,Education,7,13,1
0,157074,Female,46,Married,1,High School,Unemployed,Professional,Own,22294.102177926936,317,Vehicle,7,21,0
0,157081,Male,39,Single,3,Graduate,Employed,Professional,Own,21207.012040750065,847,Home,6,13,1
0,157086,Female,52,Married,0,High School,Self-Employed,Professional,Rent,21040.437631695266,403,Home,4,10,1
0,157235,Male,34,Divorced,0,High School,Employed,Professional,Other,21520.159232499598,829,Home,2,29,1
0,157391,Male,49,Divorced,1,Graduate,Employed,Salaried,Own,21796.867096436556,747,Vehicle,2,19,1
0,157514,Male,35,Single,0,High School,Employed,Business,Other,21074.4531211457,680,Home,9,9,1
0,157546,Male,33,Single,0,High School,Employed,Freelancer,Rent,22255.057377802143,706,Home,3,19,1
0,157578,Male,31,Single,3,High School,Self-Employed,Freelancer,Own,21078.31737488223,812,Home,0,17,1
0,157616,Male,30,Married,2,Postgraduate,Self-Employed,Business,Own,21961.458240627733,740,Personal,1,18,0
0,157625,Male,43,Single,0,Graduate,Self-Employed,Business,Other,20385.863081610278,689,Vehicle,6,7,1
0,157653,Male,47,Single,2,Graduate,Self-Employed,Business,Own,21389.85414735305,674,Education,3,16,0
0,157741,Female,41,Married,1,Graduate,Employed,Salaried,Rent,22093.424027897927,700,Personal,8,9,1
0,157808,Male,32,Married,3,Graduate,Unemployed,Salaried,Rent,26839.77432047372,300,Home,3,18,0
0,157828,Female,53,Single,2,Graduate,Self-Employed,Professional,Own,20917.321283074067,383,Education,9,10,0
0,157843,Male,69,Married,0,High School,Employed,Business,Rent,20820.094784573288,848,Home,1,26,0
0,157874,Female,48,Married,0,Graduate,Employed,Salaried,Own,21810.296720757156,843,Education,5,25,1
0,157909,Female,56,Married,3,High School,Employed,Freelancer,Own,21821.409571548724,382,Home,4,12,0
0,158038,Male,29,Married,0,Postgraduate,Employed,Salaried,Own,21566.648972216804,841,Personal,6,8,1
0,158042,Male,28,Married,1,Graduate,Employed,Business,Own,21086.264458803693,749,Education,7,18,1
0,158094,Male,42,Single,3,Postgraduate,Employed,Business,Own,21548.7157837026,849,Home,9,19,1
0,158100,Female,31,Single,1,Graduate,Self-Employed,Freelancer,Own,21040.437631695266,749,Home,0,22,1
0,158105,Male,45,Single,3,High School,Employed,Business,Own,21040.437631695266,304,Home,8,11,0
0,158129,Male,23,Married,1,Graduate,Self-Employed,Freelancer,Other,21365.594556001182,300,Home,5,27,0
0,158130,Male,39,Married,0,High School,Self-Employed,Business,Own,20589.33483704481,845,Home,3,20,1
0,158230,Female,29,Married,3,Graduate,Employed,Freelancer,Own,21673.563298842393,798,Home,4,13,1
0,158243,Male,43,Single,3,High School,Unemployed,Professional,Own,22708.20706050778,831,Education,0,28,1
0,158305,Male,44,Single,3,Postgraduate,Unemployed,Salaried,Own,22994.370151654184,848,Vehicle,8,8,0
0,158323,Male,52,Single,0,Graduate,Self-Employed,Freelancer,Own,20567.25177455242,410,Vehicle,0,20,0
0,158329,Male,32,Married,1,Graduate,Unemployed,Business,Own,21040.437631695266,301,Education,9,14,0
0,158331,Female,47,Single,1,Graduate,Self-Employed,Freelancer,Rent,22145.519107615175,771,Home,7,12,1
0,158332,Male,29,Married,1,Postgraduate,Employed,Freelancer,Rent,21040.437631695266,849,Home,1,25,1
0,158428,Male,33,Divorced,0,High School,Unemployed,Professional,Own,21170.98010659955,762,Home,8,23,1
0,158460,Male,18,Divorced,0,High School,Employed,Freelancer,Other,20709.88436615296,403,Home,1,14,0
0,158595,Female,36,Single,3,Postgraduate,Self-Employed,Professional,Rent,22266.399066847207,620,Vehicle,6,13,0
0,158628,Female,26,Single,1,Graduate,Employed,Business,Rent,20960.311747255764,557,Personal,7,16,0
0,158717,Male,26,Divorced,2,Graduate,Employed,Professional,Other,23018.18472272534,369,Home,8,15,0
0,158759,Male,44,Married,1,Graduate,Unemployed,Freelancer,Own,21040.437631695266,847,Education,4,14,1
0,158790,Male,40,Single,1,Postgraduate,Employed,Business,Other,21040.437631695266,394,Home,0,11,0
0,158804,Male,30,Married,3,Graduate,Employed,Business,Own,21939.840037905895,821,Vehicle,5,23,0
0,159014,Male,46,Divorced,0,High School,Unemployed,Professional,Rent,22522.93153785791,781,Home,0,22,1
0,159074,Male,43,Single,3,High School,Employed,Professional,Own,21040.437631695266,775,Home,5,19,0
0,159139,Female,30,Single,0,Postgraduate,Employed,Freelancer,Rent,21471.639023615353,390,Vehicle,5,28,0
0,159179,Male,41,Married,3,Graduate,Self-Employed,Business,Rent,20711.614506491045,746,Education,8,9,1
0,159220,Male,31,Single,1,Graduate,Self-Employed,Business,Own,22417.08067629976,616,Vehicle,4,17,1
0,159253,Female,33,Single,1,Postgraduate,Self-Employed,Salaried,Own,20311.08770234443,403,Home,9,14,1
0,159292,Female,27,Married,1,Postgraduate,Employed,Business,Own,23173.82962523951,849,Home,4,8,0
0,159296,Male,38,Married,1,Graduate,Self-Employed,Professional,Rent,21040.437631695266,326,Vehicle,6,13,0
0,159329,Male,44,Married,3,High School,Employed,Business,Rent,20696.88265910459,679,Education,6,10,1
0,159345,Male,47,Married,3,Graduate,Employed,Professional,Own,20663.920714976673,302,Education,0,25,1
0,159460,Female,54,Single,1,High School,Employed,Salaried,Own,25619.08198017506,486,Education,0,24,0
0,159503,Female,29,Married,1,High School,Self-Employed,Business,Own,21040.437631695266,836,Personal,7,19,1
0,159510,Male,57,Single,3,Postgraduate,Unemployed,Professional,Rent,20541.856885497487,845,Home,3,6,1
0,159520,Male,33,Married,2,Graduate,Unemployed,Business,Rent,21874.3180703494,371,Home,5,15,0
0,159530,Male,55,Married,1,Postgraduate,Self-Employed,Business,Other,21582.290357594356,355,Home,0,27,0
0,159666,Male,46,Married,2,Graduate,Employed,Business,Own,20473.91757872208,825,Personal,8,10,1
0,159690,Male,19,Divorced,3,High School,Unemployed,Freelancer,Own,20490.592669932314,834,Vehicle,1,9,1
0,159743,Male,38,Single,3,High School,Employed,Salaried,Own,21397.11095385216,358,Education,0,8,0
0,159799,Female,42,Married,3,Postgraduate,Self-Employed,Freelancer,Own,22622.91880398793,832,Home,3,17,0
0,159823,Female,44,Single,3,High School,Unemployed,Professional,Rent,22975.815781871897,832,Home,0,11,1
0,159863,Male,46,Single,3,High School,Employed,Business,Own,23903.329719004818,836,Vehicle,2,17,1
0,159975,Male,42,Single,0,High School,Unemployed,Freelancer,Own,22045.39262299611,846,Personal,3,16,0
0,159999,Female,26,Married,3,Graduate,Self-Employed,Freelancer,Rent,21770.028371405533,845,Personal,5,16,1
0,160034,Male,51,Single,2,Graduate,Employed,Freelancer,Other,20976.148106930017,411,Vehicle,6,21,0
0,160035,Female,51,Divorced,0,High School,Unemployed,Business,Own,21040.437631695266,809,Education,7,6,1
0,160043,Male,45,Divorced,1,Graduate,Employed,Business,Own,21040.437631695266,687,Education,3,25,1
0,160335,Male,24,Married,2,Graduate,Self-Employed,Freelancer,Rent,21371.23649643938,849,Home,5,22,1
0,160360,Male,36,Single,3,Graduate,Employed,Freelancer,Own,21040.437631695266,388,Home,6,11,0
0,160370,Male,39,Married,0,High School,Employed,Professional,Rent,23713.494534293524,785,Education,1,22,1
0,160468,Male,35,Single,1,Postgraduate,Self-Employed,Freelancer,Own,20417.58129496135,388,Personal,2,25,0
0,160551,Male,61,Married,1,Postgraduate,Unemployed,Business,Own,21580.60126447663,558,Home,1,14,0
0,160590,Male,50,Single,2,High School,Employed,Freelancer,Own,20873.784206741275,441,Education,6,12,1
0,160688,Male,37,Married,2,High School,Unemployed,Salaried,Own,20688.965334417888,465,Vehicle,7,17,0
0,160783,Female,40,Single,0,Graduate,Employed,Freelancer,Own,21931.39799291895,593,Home,9,25,1
0,160807,Male,34,Married,3,Postgraduate,Self-Employed,Professional,Rent,20830.359668204295,848,Home,9,8,1
0,160821,Female,58,Married,0,Graduate,Self-Employed,Business,Rent,21572.861811078146,584,Personal,6,7,1
0,160922,Female,26,Single,3,High School,Unemployed,Business,Rent,21323.551940549587,849,Education,4,21,1
0,160946,Male,38,Single,1,High School,Self-Employed,Freelancer,Own,21800.18884274402,465,Vehicle,5,27,1
0,161016,Male,59,Married,2,Postgraduate,Employed,Salaried,Rent,21438.495103477184,482,Home,6,24,1
0,161017,Male,42,Single,2,Graduate,Employed,Business,Own,21564.628080734517,596,Personal,9,17,1
0,161090,Male,36,Married,0,High School,Self-Employed,Salaried,Rent,25795.103064935065,838,Education,7,21,0
0,161147,Male,42,Single,2,High School,Employed,Salaried,Rent,21062.043178190823,365,Home,2,13,0
0,161180,Male,24,Married,3,High School,Employed,Business,Own,22339.87085480652,848,Personal,7,28,0
0,161233,Male,54,Single,0,High School,Employed,Business,Other,22032.543474783404,843,Home,6,24,1
0,161256,Female,32,Single,0,Graduate,Employed,Business,Other,20768.859986182706,848,Personal,1,21,1
0,161328,Male,37,Married,0,High School,Employed,Freelancer,Own,21040.437631695266,843,Education,5,25,1
0,161344,Female,42,Married,0,High School,Employed,Business,Own,21375.318984564143,848,Education,9,8,0
0,161367,Male,44,Married,2,High School,Employed,Business,Own,21757.033847620725,389,Education,8,25,1
0,161603,Male,24,Single,1,High School,Employed,Business,Own,23302.31221380216,794,Education,0,11,1
0,161634,Male,39,Single,2,High School,Unemployed,Freelancer,Own,22599.8105871671,516,Home,8,24,0
0,161643,Male,35,Married,1,High School,Employed,Professional,Own,20718.694467882447,715,Vehicle,6,11,0
0,161696,Male,53,Single,3,High School,Employed,Salaried,Rent,20995.993411792562,394,Home,5,28,1
0,161726,Male,32,Single,2,High School,Employed,Freelancer,Own,21249.909122505447,809,Vehicle,6,11,1
0,161743,Male,61,Single,1,High School,Employed,Business,Rent,22172.746412998924,702,Education,8,28,0
0,161775,Male,44,Married,1,High School,Unemployed,Salaried,Rent,20587.30505199811,824,Education,2,23,0
0,161800,Male,39,Married,3,Postgraduate,Self-Employed,Business,Rent,21900.0030264282,848,Home,9,24,1
0,161841,Male,43,Single,2,Graduate,Unemployed,Business,Own,21040.437631695266,369,Vehicle,2,19,1
0,162000,Male,50,Single,2,Postgraduate,Employed,Business,Rent,21666.32735801363,619,Home,0,6,1
0,162003,Male,35,Married,3,High School,Self-Employed,Business,Other,20879.021489998773,563,Home,9,10,0
0,162005,Female,44,Single,0,High School,Unemployed,Professional,Own,20777.06771995344,358,Personal,8,17,1
0,162031,Male,46,Divorced,3,Graduate,Employed,Business,Own,21717.709242277164,306,Home,0,9,0
0,162049,Female,49,Married,1,Graduate,Self-Employed,Professional,Own,22334.120139234376,848,Vehicle,9,16,1
0,162062,Male,52,Single,1,Postgraduate,Unemployed,Professional,Own,21676.838182906613,342,Home,2,28,1
0,162151,Female,38,Married,2,High School,Unemployed,Salaried,Other,21741.1667025312,802,Personal,7,19,1
0,162282,Female,44,Single,0,High School,Self-Employed,Business,Own,20608.832608774992,789,Education,4,26,0
0,162307,Female,51,Married,1,High School,Employed,Professional,Rent,21040.437631695266,618,Education,1,16,0
0,162449,Female,22,Married,3,High School,Employed,Freelancer,Rent,20500.638292994576,321,Home,8,14,0
0,162473,Female,32,Married,0,Postgraduate,Employed,Salaried,Own,21278.703405526358,849,Personal,1,8,0
0,162532,Female,60,Married,1,High School,Self-Employed,Salaried,Own,22981.200835122687,303,Education,7,12,0
0,162537,Male,54,Single,1,Graduate,Unemployed,Professional,Other,21040.437631695266,418,Home,8,29,0
0,162545,Male,36,Single,2,Graduate,Employed,Freelancer,Other,21168.373266046652,747,Personal,5,19,1
0,162547,Male,46,Married,0,Graduate,Unemployed,Business,Rent,20581.088792535076,631,Home,5,7,1
0,162710,Male,34,Married,1,Postgraduate,Unemployed,Salaried,Own,24085.025924039477,807,Home,6,7,0
0,162737,Male,49,Married,0,Postgraduate,Employed,Business,Other,20599.142044168828,805,Home,3,14,1
0,162797,Female,55,Married,0,Graduate,Employed,Freelancer,Rent,22031.030884713215,607,Vehicle,3,9,1
0,162815,Male,30,Married,3,High School,Employed,Professional,Other,22461.155129159077,842,Education,6,25,0
0,162873,Male,35,Single,1,High School,Employed,Business,Rent,21233.532991883487,849,Vehicle,3,14,1
0,162893,Male,35,Married,3,Graduate,Self-Employed,Freelancer,Own,22061.9633858546,845,Vehicle,4,8,1
0,162905,Male,34,Single,2,High School,Employed,Salaried,Rent,21022.487682232746,361,Home,6,21,1
0,162968,Male,40,Married,0,Graduate,Employed,Business,Rent,22027.410177817477,569,Home,6,24,0
0,163010,Male,53,Married,0,Postgraduate,Employed,Professional,Own,21361.756982957886,843,Education,2,7,1
0,163079,Male,44,Married,1,High School,Employed,Professional,Other,21040.200241937528,849,Home,1,26,1
0,163083,Female,39,Divorced,0,Postgraduate,Self-Employed,Salaried,Own,20556.255224218534,781,Home,1,17,1
0,163280,Male,37,Single,1,High School,Employed,Business,Rent,21040.437631695266,327,Personal,4,25,1
0,163365,Male,34,Married,0,Graduate,Unemployed,Freelancer,Own,21460.792295635772,849,Education,0,11,1
0,163366,Male,33,Married,3,Graduate,Employed,Salaried,Own,21799.5669773556,380,Home,7,9,0
0,163419,Male,50,Single,1,Graduate,Unemployed,Business,Rent,21953.565544273242,830,Education,3,13,0
0,163532,Male,62,Single,2,High School,Employed,Professional,Own,21344.118308249752,780,Personal,1,16,1
0,163625,Male,40,Married,3,High School,Employed,Freelancer,Other,22276.5671474502,669,Education,7,17,1
0,163685,Female,40,Married,1,High School,Employed,Freelancer,Own,21799.5669773556,821,Personal,3,11,1
0,163699,Female,47,Single,3,Graduate,Self-Employed,Professional,Rent,21799.5669773556,439,Home,9,7,0
0,163751,Male,31,Married,2,Postgraduate,Employed,Business,Own,21186.91840020436,829,Personal,0,26,1
